frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v
904,1750951863085,-999,-999,815,874.75
905,1750951863137,-999,-999,815.75,873.75
906,1750951863189,-999,-999,815,872.75
907,1750951863237,-999,-999,815.75,875
908,1750951863296,-999,-999,817,873.75
909,1750951863337,-999,-999,816.25,875.25
910,1750951863388,-999,-999,817,874.5
911,1750951863437,-999,-999,816.75,874.5
912,1750951863492,-999,-999,815.75,873.5
913,1750951863537,-999,-999,815.75,873.5
914,1750951863588,-999,-999,815.75,873
915,1750951863638,-999,-999,816.75,873.75
916,1750951863690,-999,-999,816.75,873.75
917,1750951863740,-999,-999,815.75,873.5
918,1750951863788,-999,-999,816.25,874.75
919,1750951863841,-999,-999,815.75,874.25
920,1750951863889,-999,-999,815.75,873.75
921,1750951863945,-999,-999,816.25,874
922,1750951863989,-999,-999,816.5,874.5
923,1750951864038,-999,-999,816.5,874.25
924,1750951864089,-999,-999,816.75,874.5
925,1750951864140,-999,-999,816.25,874.75
926,1750951864201,-999,-999,815.75,874.5
927,1750951864243,-999,-999,815.25,873
928,1750951864295,-999,-999,816.75,874.75
929,1750951864340,-999,-999,817.25,874.25
930,1750951864397,-999,-999,816.25,874.5
931,1750951864440,-999,-999,815.75,873.25
932,1750951864490,-999,-999,816.25,873.25
933,1750951864540,-999,-999,816.5,875
934,1750951864590,-999,-999,817.25,874.5
935,1750951864641,-999,-999,815.75,873.5
936,1750951864691,-999,-999,816,874.5
937,1750951864741,-999,-999,815.5,874.25
938,1750951864790,-999,-999,816.25,873.5
939,1750951864841,-999,-999,815.75,874.5
940,1750951864895,-999,-999,817,874.25
941,1750951864940,-999,-999,816.5,874.25
942,1750951864994,-999,-999,816.75,874.25
943,1750951865044,-999,-999,816.5,873
944,1750951865092,-999,-999,816.75,874.5
945,1750951865141,-999,-999,816,873.75
946,1750951865201,-999,-999,817,873.75
947,1750951865243,-999,-999,816,873.75
948,1750951865291,-999,-999,815.5,874
949,1750951865343,-999,-999,816,873.25
950,1750951865394,-999,-999,815.75,873
951,1750951865452,-999,-999,816.5,873.5
952,1750951865493,-999,-999,816,874.5
953,1750951865542,-999,-999,816.5,874.25
954,1750951865594,-999,-999,816,874
955,1750951865642,-999,-999,816,874.25
956,1750951865693,-999,-999,816.25,873.25
957,1750951865744,-999,-999,816.25,875
958,1750951865793,-999,-999,815,873.25
959,1750951865845,-999,-999,816,873.5
960,1750951865893,-999,-999,816.75,874.25
961,1750951865946,-999,-999,817,873
962,1750951865995,-999,-999,816.25,874
963,1750951866048,-999,-999,816.75,874.75
964,1750951866094,-999,-999,816.25,874.25
965,1750951866145,-999,-999,816.75,874.25
966,1750951866194,-999,-999,816.5,873.75
967,1750951866254,-999,-999,815.25,874.75
968,1750951866296,-999,-999,816.5,873.75
969,1750951866345,-999,-999,815.75,874
970,1750951866395,-999,-999,815.75,872.75
971,1750951866452,-999,-999,816.75,874.25
972,1750951866496,-999,-999,815.25,874.5
973,1750951866554,-999,-999,816,873.75
974,1750951866596,-999,-999,815.25,874.5
975,1750951866650,-999,-999,816.75,873.75
976,1750951866696,-999,-999,816.5,874.5
977,1750951866746,-999,-999,816,872.5
978,1750951866796,-999,-999,817,874.25
979,1750951866846,-999,-999,816.25,874.5
980,1750951866897,-999,-999,816.5,874
981,1750951866947,-999,-999,815.75,873.25
982,1750951867008,-999,-999,816.75,873.5
983,1750951867051,-999,-999,817.25,873.75
984,1750951867098,-999,-999,816.75,873.5
985,1750951867152,-999,-999,816.25,873.25
986,1750951867198,-999,-999,817,874.5
987,1750951867248,-999,-999,817,874.75
988,1750951867298,-999,-999,815,873.5
989,1750951867348,-999,-999,817.25,873.25
990,1750951867398,-999,-999,815.75,874.5
991,1750951867448,-999,-999,815.75,874.75
992,1750951867498,-999,-999,816,873.5
993,1750951867549,-999,-999,815.25,873
994,1750951867598,-999,-999,815.75,875.25
995,1750951867648,-999,-999,815.5,872.5
996,1750951867698,-999,-999,816,873.5
997,1750951867749,-999,-999,815.5,873.25
998,1750951867799,-999,-999,816,874
999,1750951867850,-999,-999,815.75,874.25
1000,1750951867899,-999,-999,816.25,873
1001,1750951867949,-999,-999,815.5,874.25
1002,1750951868008,-999,-999,815.75,874
1003,1750951868049,-999,-999,815.75,874.25
1004,1750951868100,-999,-999,817,873.75
1005,1750951868151,-999,-999,817.25,874
1006,1750951868204,-999,-999,817.25,874.5
1007,1750951868250,-999,-999,815.75,873.5
1008,1750951868300,-999,-999,816.25,873.75
1009,1750951868350,-999,-999,815.25,875
1010,1750951868402,-999,-999,815.5,873.75
1011,1750951868452,-999,-999,816,873.25
1012,1750951868501,-999,-999,816.75,874.25
1013,1750951868557,-999,-999,816.5,873.75
1014,1750951868600,-999,-999,816,874
1015,1750951868652,-999,-999,815.75,874
1016,1750951868701,-999,-999,815.25,873.5
1017,1750951868751,-999,-999,816.25,874
1018,1750951868802,-999,-999,816.25,873.25
1019,1750951868852,-999,-999,815.25,873.75
1020,1750951868902,-999,-999,817,874.25
1021,1750951868952,-999,-999,816.5,873
1022,1750951869003,-999,-999,816.25,874.25
1023,1750951869053,-999,-999,816,873.75
1024,1750951869109,-999,-999,816,873.5
1025,1750951869152,-999,-999,816.5,873.5
1026,1750951869203,-999,-999,817.25,874
1027,1750951869253,-999,-999,816,873.75
1028,1750951869303,-999,-999,815.75,873.25
1029,1750951869353,-999,-999,816.25,874.75
1030,1750951869404,-999,-999,815.25,874
1031,1750951869453,-999,-999,817.25,873.5
1032,1750951869504,-999,-999,816.25,874
1033,1750951869553,-999,-999,816.25,873.5
1034,1750951869604,-999,-999,815.75,873.5
1035,1750951869654,-999,-999,816,874
1036,1750951869704,-999,-999,816.25,874.25
1037,1750951869754,-999,-999,816.5,873.5
1038,1750951869805,-999,-999,816.75,873.75
1039,1750951869856,-999,-999,816,873.5
1040,1750951869906,-999,-999,816.5,873.5
1041,1750951869954,-999,-999,816.75,873.75
1042,1750951870005,-999,-999,816.5,874.25
1043,1750951870057,-999,-999,815,874.5
1044,1750951870106,-999,-999,816.25,875
1045,1750951870155,-999,-999,816.5,874.25
1046,1750951870205,-999,-999,816.25,874.25
1047,1750951870262,-999,-999,816.75,873.75
1048,1750951870306,-999,-999,816.25,873.75
1049,1750951870356,-999,-999,815.25,873
1050,1750951870407,-999,-999,816,875
1051,1750951870456,-999,-999,817,874
1052,1750951870507,-999,-999,816.5,873.75
1053,1750951870557,-999,-999,817.75,874.25
1054,1750951870607,-999,-999,815.75,874.5
1055,1750951870657,-999,-999,817,875.25
1056,1750951870707,-999,-999,816,872.75
1057,1750951870757,-999,-999,815.75,873.5
1058,1750951870807,-999,-999,815.25,874.5
1059,1750951870858,-999,-999,816.25,874.25
1060,1750951870908,-999,-999,816.75,873.5
1061,1750951870967,-999,-999,816,873.75
1062,1750951871007,-999,-999,815.5,873.75
1063,1750951871059,-999,-999,816.75,873.25
1064,1750951871108,-999,-999,816.5,873.75
1065,1750951871158,-999,-999,817,874.25
1066,1750951871208,-999,-999,816.25,873.5
1067,1750951871260,-999,-999,816,874
1068,1750951871310,-999,-999,816,874.25
1069,1750951871363,-999,-999,815.5,872.75
1070,1750951871409,-999,-999,814.75,873.25
1071,1750951871460,-999,-999,816,874
1072,1750951871509,-999,-999,814.75,873.25
1073,1750951871562,-999,-999,816.25,874
1074,1750951871609,-999,-999,815.5,874
1075,1750951871660,-999,-999,815.25,875.25
1076,1750951871710,-999,-999,816.25,873.75
1077,1750951871760,-999,-999,815.5,874.5
1078,1750951871809,-999,-999,816.25,874.5
1079,1750951871860,-999,-999,817,873.75
1080,1750951871910,-999,-999,816.5,874.25
1081,1750951871961,-999,-999,815,875
1082,1750951872010,-999,-999,817,873.25
1083,1750951872064,-999,-999,816,874.5
1084,1750951872111,-999,-999,816.5,874
1085,1750951872162,-999,-999,816,873.5
1086,1750951872211,-999,-999,816,873.25
1087,1750951872265,-999,-999,816,874.25
1088,1750951872311,-999,-999,816.25,874.25
1089,1750951872364,-999,-999,817,873.5
1090,1750951872416,-999,-999,816.5,874.25
