frame_id,timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
1217,1750952051418,1.85858,4.2993,-5.47,1.08358,-0.700702,-0.1,2.18358,2525
1218,1750952051461,2.3853,4.59092,-5.47,1.6103,-0.409084,-0.1,2.7103,2525
1219,1750952051518,3.52529,3.30053,-5.47,2.75029,-1.69947,-0.1,3.85029,2525
1220,1750952051560,2.07675,3.77937,-5.47,1.30175,-1.22063,-0.1,2.40175,2525
1221,1750952051610,4.34873,3.2957,-5.47,3.57373,-1.7043,-0.1,4.67373,2525
1222,1750952051660,2.28689,3.71123,-5.47,1.51189,-1.28877,-0.1,2.61189,2525
1223,1750952051712,2.4282,3.45248,-5.47,1.6532,-1.54752,-0.1,2.7532,2525
1224,1750952051762,4.09814,2.44707,-5.47,3.32314,-2.55293,-0.1,4.42314,2525
1225,1750952051810,3.25775,3.07496,-5.47,2.48275,-1.92504,-0.1,3.58275,2525
1226,1750952051860,2.04946,2.97733,-5.47,1.27446,-2.02267,-0.1,2.37446,2525
1227,1750952051914,2.26143,3.00539,-5.47,1.48643,-1.99461,-0.1,2.58643,2525
1228,1750952051963,2.09791,2.68734,-5.47,1.32291,-2.31266,-0.1,2.42291,2525
1229,1750952052013,2.20817,2.32537,-5.47,1.43317,-2.67463,-0.1,2.53317,2525
1230,1750952052070,1.79439,2.23378,-5.47,1.01939,-2.76622,-0.1,2.11939,2525
1231,1750952052113,3.56883,1.83387,-5.47,2.79383,-3.16613,-0.1,3.89383,2525
1232,1750952052162,1.3962,1.93976,-5.47,0.6212,-3.06024,-0.1,1.7212,2525
1233,1750952052211,1.49375,1.44132,-5.47,0.718752,-3.55868,-0.1,1.81875,2525
1234,1750952052264,1.70092,0.623744,-5.47,0.925924,-4.37626,-0.1,2.02592,2525
1235,1750952052310,1.01684,1.49649,-5.47,0.241835,-3.50351,-0.1,1.34184,2525
1236,1750952052364,0.730513,1.05697,-5.47,-0.044487,-3.94303,-0.1,1.05551,2525
1237,1750952052416,0.255125,1.00085,-5.47,-0.519875,-3.99915,-0.1,0.580125,2525
1238,1750952052462,-0.325802,1.27132,-5.47,-1.1008,-3.72868,-0.1,-0.000801811,2525
1239,1750952052512,-0.664202,0.8884,-5.47,-1.4392,-4.1116,-0.1,-0.339202,2525
1240,1750952052563,1.31481,0.185361,-5.47,0.539811,-4.81464,-0.1,1.63981,2525
1241,1750952052613,0.241739,0.929315,-5.47,-0.533261,-4.07069,-0.1,0.566739,2525
1242,1750952052664,0.792467,1.47326,-5.47,0.0174667,-3.52674,-0.1,1.11747,2525
1243,1750952052711,2.85396,0.127508,-5.47,2.07896,-4.87249,-0.1,3.17896,2525
1246,1750952052863,2.30024,-0.698745,-5.47,1.52524,-5.69875,-0.1,2.62524,2525
1247,1750952052914,1.31548,0.130975,-5.47,0.540482,-4.86902,-0.1,1.64048,2525
1248,1750952052962,2.4802,-0.653053,-5.47,1.7052,-5.65305,-0.1,2.8052,2525
1249,1750952053015,1.80655,0.457693,-5.47,1.03155,-4.54231,-0.1,2.13155,2525
1250,1750952053064,2.95597,-0.839968,-5.47,2.18097,-5.83997,-0.1,3.28097,2525
